word,score
fun bags,1750.0
echo effect,1743.0
breakfast foul,1737.0
kodak courage,1734.0
spit roast,1729.0
bruce lee,1723.0
put out,1718.0
beavis and butthead,1717.0
word vomit,1716.0
sean connery,1715.0
david bowie,1714.0
fucking a,1705.0
french kiss,1703.0
ex-door neighbor,1700.0
leeroy jenkins,1699.0
expiration dating,1698.0
naked brothers band,1694.0
bush league,1692.0
turd burglar,1690.0
fire crotch,1687.0
red wings,1686.0
asian girl,1685.0
nigger faggot,1685.0
just friends,1680.0
pics or it didn't happen,1680.0
mall hangover,1680.0
united states of america,1675.0
white guilt,1672.0
how much wood would a woodchuck chuck if a woodchuck could chuck wood,1671.0
coca cola,1670.0
call of duty 4,1661.0
muffin man,1659.0
the itis,1657.0
julian casablancas,1654.0
trouser snake,1651.0
darth vader,1650.0
spiritus raptus,1650.0
dinner whore,1647.0
morning glory,1645.0
your face,1645.0
rosie o'donnell,1643.0
email tennis,1643.0
cock hugger,1642.0
waffle stomp,1641.0
hung like a horse,1640.0
suck my dick,1637.0
blue lagoon,1637.0
reach around,1637.0
you reap what you sow,1635.0
butt dial,1634.0
jessica simpson,1633.0
spiritual rapture,1633.0
dip out,1631.0
man boobs,1630.0
clark kent job,1629.0
cunt punt,1628.0
400 calories,1627.0
wet pussy,1624.0
jesse jackson,1624.0
big l,1623.0
anne frank,1622.0
no name basis,1621.0
ron jeremy,1620.0
white privilege,1617.0
lil jon,1617.0
office ghost,1616.0
love handles,1616.0
pulp fiction,1615.0
monica lewinsky,1613.0
grape drink,1611.0
george carlin,1611.0
brain bucket,1609.0
p diddy,1607.0
ronald mcdonald,1607.0
shark week,1605.0
angel dust,1604.0
beer shit,1600.0
village idiot,1597.0
balls deep,1597.0
eazy e,1595.0
catch 22,1590.0
meat curtains,1587.0
notice me e-mail,1586.0
go fuck yourself,1584.0
fall out boy,1582.0
tea bagging,1579.0
habbo hotel,1576.0
chad warden,1573.0
omega male,1571.0
vote for pedro,1571.0
ville valo,1569.0
grand theft auto,1569.0
rise against,1567.0
i'm your huckleberry,1566.0
dry hump,1563.0
cop a feel,1562.0
back dimples,1560.0
october surprise,1559.0
keep it real,1557.0
shit or get off the pot,1556.0
gay marriage,1555.0
o g,1555.0
arabian goggles,1554.0
refrigerator blindness,1553.0
ashlee simpson,1553.0
super mario,1551.0
grade digger,1550.0
new orleans,1549.0
ghetto booty,1548.0
quick question,1547.0
v card,1540.0
death metal,1539.0
om nom,1538.0
jungle fever,1537.0
balls to the wall,1537.0
wisest wizard,1536.0
short bus,1535.0
keep it 100,1534.0
stripper wallet,1534.0
queer baiting,1531.0
window licker,1531.0
paul mccartney,1530.0
good charlotte,1528.0
yahoo answers,1527.0
mac daddy,1527.0
american idol,1524.0
new york minute,1523.0
insane clown posse,1522.0
christina aguilera,1521.0
tripping balls,1521.0
north korea,1519.0
coitus hiatus,1514.0
sloppy seconds,1512.0
fuck that shit,1511.0
cut a rug,1508.0
alex gaskarth,1507.0
adolf hitler,1505.0
wikipedian loop,1505.0
acoustic shave,1502.0
emo boy,1498.0
cold shower,1497.0
real nigga,1496.0
green day sucks,1490.0
beer goggles,1490.0
mexican avalanche,1489.0
get to da choppa!,1487.0
kick rocks,1486.0
space cadet,1485.0
michael bay,1484.0
kim jong il,1483.0
tenacious d,1481.0
dime bag,1480.0
adult swim,1479.0
skinny dipping,1478.0
double standard,1477.0
jail bait,1476.0
my bad,1476.0
the city,1474.0
tight pussy,1473.0
fuck you pay me,1472.0
i'll pencil you in,1470.0
fuck nigga,1470.0
dine and dash,1465.0
stuck up,1461.0
avenged sevenfold,1461.0
bung podling,1460.0
windows me,1459.0
white pride,1459.0
man flu,1459.0
jew gold,1459.0
down to earth,1457.0
jehovah's witness,1455.0
making love,1454.0
vanilla ice,1453.0
bucket list,1453.0
glenn beck,1452.0
mesh does doom,1452.0
bad bitch,1452.0
wii elbow,1449.0
sticky icky,1448.0
first world problems,1447.0
new world order,1446.0
fair-weather friend,1446.0
intelligent design,1445.0
cookie monster,1444.0
nigger rig,1443.0
shit eating grin,1442.0
crank dat,1442.0
death note,1442.0
pound sand,1441.0
reverse telecommuting,1440.0
doggie style,1440.0
waffle crapper,1439.0
skin flute,1438.0
token black guy,1436.0
4th base,1435.0
snu snu,1434.0
premature ejaculation,1432.0
gang stalking,1431.0
limp biscuit,1430.0
jenna jameson,1429.0
new zealand,1428.0
raw dog,1426.0
fat fuck,1425.0
red pill,1424.0
s on my chest,1424.0
cornell university,1424.0
phone sex,1423.0
s & m,1420.0
fake take,1418.0
pot head,1415.0
the dude,1414.0
dump truck,1410.0
drink the kool-aid,1409.0
boo thang,1409.0
al bundy,1406.0
the clap,1402.0
bunny boiler,1402.0
stay frosty,1402.0
dr. phil,1401.0
dime piece,1399.0
bme pain olympics,1396.0
flying fuck,1396.0
barrel roll,1395.0
sex kitten,1394.0
tree fiddy,1391.0
indie girl,1390.0
retail therapy,1388.0
nine inch nails,1388.0
missionary position,1385.0
roman helmet,1384.0
mustache ride,1384.0
don't drop the soap!,1383.0
bro hoe,1380.0
north carolina,1380.0
proximity infatuation,1380.0
sexual intercourse,1380.0
nigger knife,1380.0
tila tequila,1378.0
eric cartman,1377.0
